dimension_id,dimension_name,dimension_description,question_id,question_text,question_type,option_1_label,option_1_value,option_2_label,option_2_value,option_3_label,option_3_value,option_4_label,option_4_value,option_5_label,option_5_value,option_6_label,option_6_value,why_matters,when_done_well,problems_without
workflow,WORKFLOW MASTERY,How well does the pod control and optimize their flow of work?,1,The pod tracks workflow KPIs and clearly identifies bottlenecks in their process,A,,,,,,,,,,,,,,"Without metrics you're flying blind. KPIs reveal where work actually gets stuck - often not where teams think. Data beats opinions every time when improving flow.","Decisions based on facts not feelings|Team knows exactly where to focus improvement efforts|Problems visible before they become critical|Continuous flow optimization becomes possible","Optimizing the wrong things wastes effort|Arguments about what's really slowing the team|Hidden wait times kill productivity|Can't prove improvements actually worked"
workflow,WORKFLOW MASTERY,How well does the pod control and optimize their flow of work?,2,How well does the pod manage concurrent work to maintain flow?,C,Chaos - Everyone works on everything constant context switching,1,Overloaded - People juggle many items lots of 90% done work,2,Some awareness - Pod tries to limit WIP but often fails under pressure,3,Usually controlled - Most members focus on 1-2 items occasional overload,4,Well managed - Clear focus items flow smoothly rare bottlenecks,5,Optimized flow - Pod proactively manages WIP pulls work at sustainable pace,6,"Too much WIP creates chaos. Like juggling - add too many balls and you drop them all. Focus enables flow, multitasking destroys it.","Work flows predictably through the system|Team members can focus deeply|Less context switching means higher quality|Faster overall delivery despite doing less at once","Everything is 90% done nothing is finished|Constant context switching burns mental energy|Blocked work piles up everywhere|Stress and overtime become normal"
workflow,WORKFLOW MASTERY,How well does the pod control and optimize their flow of work?,3,"The pod knows and actively works to reduce the time from ""started"" to ""done""",A,,,,,,,,,,,,,,"Cycle time is the truth about your delivery speed. Long cycle times mean late feedback, higher risk, and unhappy stakeholders. Speed isn't rushing - it's removing delays.","Fast feedback loops catch problems early|Value reaches users quickly|Less work in progress reduces complexity|Team morale improves with frequent wins","Requirements change before work finishes|Big batches increase risk of failure|Team forgets context on long-running items|Business loses confidence in delivery"
workflow,WORKFLOW MASTERY,How well does the pod control and optimize their flow of work?,4,Bottlenecks are made visible and the pod actively works to eliminate them,A,,,,,,,,,,,,,,"A chain is only as strong as its weakest link. One bottleneck can slow an entire team. Making them visible turns frustration into focused action.","Everyone knows where help is needed|Resources shift dynamically to unblock flow|Systematic improvements target real constraints|Team collaborates instead of finger-pointing","Work queues up invisibly until crisis hits|People optimize their part while system suffers|Heroics and overtime become the norm|Same problems repeat every sprint"
workflow,WORKFLOW MASTERY,How well does the pod control and optimize their flow of work?,5,Dependencies with other pods (code reviews cross-pod projects) are identified and optimized to avoid delays,A,,,,,,,,,,,,,,"External dependencies are delivery killers. They're outside your control but inside your timeline. Managing them proactively is the difference between smooth delivery and constant fire-fighting.","No surprise blocks from other teams|Clear contracts and timelines with dependencies|Alternative paths identified in advance|Predictable delivery despite external factors","Sprint goals fail due to external delays|Last-minute scrambles to find workarounds|Trust erodes between teams|Planning becomes meaningless"
workflow,WORKFLOW MASTERY,How well does the pod control and optimize their flow of work?,6,The number of items completed per sprint is predictable and stable,A,,,,,,,,,,,,,,"Predictability builds trust. When completion varies wildly, planning becomes guesswork. Stable velocity means reliable commitments and calm delivery.","Business can plan with confidence|Team avoids overcommitment stress|Sustainable pace prevents burnout|Focus on value not just activity","Constant replanning wastes time|Team credibility suffers|Feast or famine work patterns|Quality drops under pressure"
rituals,RITUALS & CADENCE,How effective are the pod's ceremonies and regular practices?,7,Each iteration has a proper preparation (refinement) and planning session,C,No planning sessions,1,Planning exists but poorly prepared,2,Planning exists sometimes prepared,3,Planning exists usually well prepared,4,Planning exists always well prepared,5,Planning refined regularly always excellent,6,"Starting work unprepared is like cooking without reading the recipe first. Good preparation prevents rework, confusion, and wasted effort.","Team starts sprints with clarity and confidence|Questions answered before coding begins|Realistic commitments based on understanding|Smooth sprint execution without surprises","Discovery happens during development|Constant clarification interrupts flow|Scope creep from misunderstandings|Sprint goals regularly missed"
rituals,RITUALS & CADENCE,How effective are the pod's ceremonies and regular practices?,8,Daily check-ins effectively identify blockers and coordinate work,A,,,,,,,,,,,,,,"Blockers grow exponentially - what takes 5 minutes to fix now takes 5 hours tomorrow. Daily sync prevents small issues from becoming big problems.","Blockers resolved within hours not days|Natural collaboration emerges|No duplicate work or gaps|Team stays aligned without micromanagement","People stuck for days before asking for help|Duplicate work from poor coordination|Surprises at sprint review|Increased stress and frustration"
rituals,RITUALS & CADENCE,How effective are the pod's ceremonies and regular practices?,9,The pod demonstrates completed work and tracks delivery metrics each sprint,A,,,,,,,,,,,,,,"'Done' without demonstration is just a claim. Regular demos create accountability, gather feedback, and celebrate progress. Metrics show if you're improving or just busy.","Early feedback prevents wrong direction|Team pride in showing real progress|Stakeholders engaged and informed|Continuous improvement based on data","Big bang reveals with nasty surprises|Disconnection from user needs|No celebration of achievements|Can't tell if process changes help"
rituals,RITUALS & CADENCE,How effective are the pod's ceremonies and regular practices?,10,Product demos conducted with stakeholders this quarter,B,0 demos,1,1 demo,3,2 demos,5,3+ demos,6,,,,,,"Stakeholders aren't mind readers. Regular demos build trust, get buy-in, and ensure you're building the right thing. Silence from stakeholders isn't approval - it's disengagement.","Strong stakeholder support and engagement|Early course corrections save time|Shared excitement about progress|Clear alignment on priorities","Surprise disappointment at major milestones|Building the wrong thing perfectly|Loss of stakeholder confidence|Late expensive changes"
